TF TG
3606 Egr1 Rala
3607 Egr1 Ran
3608 Egr1 Ranbp1
3609 Egr1 Rangap1
3610 Egr1 Rap1b
3611 Egr1 Rbm8a
3612 Egr1 Rbms1
3613 Egr1 Rbx1
3614 Egr1 Rnf11
3615 Egr1 Rnh1
3616 Egr1 Rpl12
3617 Egr1 Rpl13a
3618 Egr1 Rpl15
3619 Egr1 Rpl17
3620 Egr1 Rpl19
3621 Egr1 Rpl23
3622 Egr1 Rpl27a
3623 Egr1 Rpl28
3624 Egr1 Rpl32
3625 Egr1 Rpl35
3626 Egr1 Rpl38
3627 Egr1 Rpl6
3628 Egr1 Rpl7
3629 Egr1 Rplp0
3630 Egr1 Rplp2
3631 Egr1 Rps11
3632 Egr1 Rps16
3633 Egr1 Rps19
3634 Egr1 Rps19bp1
3635 Egr1 Rps27l
3636 Egr1 Rps5
3637 Egr1 Rps6
3638 Egr1 Rps8
3639 Egr1 Rtn4
3640 Egr1 S100a10
3641 Egr1 S100a11
3642 Egr1 S100a14
3643 Egr1 Sat1
3644 Egr1 Sbds
3645 Egr1 Sdc4
3646 Egr1 Sdcbp
3647 Egr1 Sdf4
3648 Egr1 Sec62
3649 Egr1 Serbp1
3650 Egr1 Serinc1
3651 Egr1 Serpinb6a
3652 Egr1 Serpinb9
3653 Egr1 Set
3654 Egr1 Sf3b1
3655 Egr1 Sfn
3656 Egr1 Sfr1
3657 Egr1 Sh3glb1
3658 Egr1 Slc25a3
3659 Egr1 Slirp
3660 Egr1 Slk
3661 Egr1 Slu7
3662 Egr1 Snrnp70
3663 Egr1 Snrpb
3664 Egr1 Snx3
3665 Egr1 Snx6
3666 Egr1 Sox4
3667 Egr1 Sparc
3668 Egr1 Spcs1
3669 Egr1 Sqstm1
3670 Egr1 Srp14
3671 Egr1 Srsf2
3672 Egr1 Srsf5
3673 Egr1 Ssb
3674 Egr1 St13
3675 Egr1 Stub1
3676 Egr1 Supt5
3677 Egr1 Syap1
3678 Egr1 Syf2
3679 Egr1 Taldo1
3680 Egr1 Taok1
3681 Egr1 Tax1bp1
3682 Egr1 Tbrg1
3683 Egr1 Tcf25
3684 Egr1 Tcp1
3685 Egr1 Timp2
3686 Egr1 Tjp2
3687 Egr1 Tm9sf3
3688 Egr1 Tmem234
3689 Egr1 Tmem50a
3690 Egr1 Tmem59
3691 Egr1 Tmod3
3692 Egr1 Tnfrsf12a
3693 Egr1 Trp53
3694 Egr1 Tpd52
3695 Egr1 Tpd52l2
3696 Egr1 Tpm1
3697 Egr1 Tpm4
3698 Egr1 Tra2b
3699 Egr1 Trappc1
3700 Egr1 Trappc4
3701 Egr1 Tsg101
3702 Egr1 Tuba1c
3703 Egr1 Txn1
3704 Egr1 Txndc17
3705 Egr1 Txndc9
3706 Egr1 Txnl1
3707 Egr1 Ubb
3708 Egr1 Ubc
3709 Egr1 Ube2b
3710 Egr1 Ube2d3
3711 Egr1 Ube2k
3712 Egr1 Ube2r2
3713 Egr1 Ubxn1
3714 Egr1 Ubxn2a
3715 Egr1 Ubxn4
3716 Egr1 Uqcrb
3717 Egr1 Usp16
3718 Egr1 Utp3
3719 Egr1 Vdac2
3720 Egr1 Vmp1
3721 Egr1 Vps36
3722 Egr1 Vti1b
3723 Egr1 Wbp4
3724 Egr1 Wls
3725 Egr1 Xrn2
3726 Egr1 Ywhab
3727 Egr1 Ywhah
3728 Egr1 Ywhaz
3729 Egr1 Zc3h15
3730 Egr1 Zfand5
3731 Egr1 Zfp36l1
3732 Egr1 Areg
3733 Egr1 D8Ertd738e
3734 Egr1 Cd44
3735 Egr1 Ceacam1
3736 Egr1 Dctn3
3737 Egr1 Tmsb10
3738 Egr1 Itgb6
3739 Egr1 Eif3c
3740 Egr1 Zcrb1
3741 Egr1 Cryab
3742 Egr1 Ccdc25
3743 Egr1 Phldb2
3744 Elf1 Acbd3
3745 Elf1 Acbd5
3746 Elf1 Actb
3747 Elf1 Actg1
3748 Elf1 Actn1
3749 Elf1 Actn4
3750 Elf1 Ahnak
3751 Elf1 Akr1b8
3752 Elf1 Aldoa
3753 Elf1 Ano6
3754 Elf1 Anxa2
3755 Elf1 Anxa3
3756 Elf1 Anxa5
3757 Elf1 Anxa7
3758 Elf1 App
3759 Elf1 Arf1
3760 Elf1 Arl1
3761 Elf1 Arpc2
3762 Elf1 Arpc5
3763 Elf1 Arpp19
3764 Elf1 Atf4
3765 Elf1 Atp6ap1
3766 Elf1 Atp6v0b
3767 Elf1 Atp6v0e
3768 Elf1 Atp6v1d
3769 Elf1 Atp6v1e1
3770 Elf1 Atxn10
3771 Elf1 B2m
3772 Elf1 Bcap31
3773 Elf1 Bnip2
3774 Elf1 Bnip3l
3775 Elf1 Bzw1
3776 Elf1 Cacybp
3777 Elf1 Calm1
3778 Elf1 Calm2
3779 Elf1 Calr
3780 Elf1 Canx
3781 Elf1 Capns1
3782 Elf1 Capzb
3783 Elf1 Cast
3784 Elf1 Ccdc25
3785 Elf1 Ccnd1
3786 Elf1 Ccnd2
3787 Elf1 Ccng1
3788 Elf1 Ccnl1
3789 Elf1 Cct2
3790 Elf1 Cct3
3791 Elf1 Cct4
3792 Elf1 Cd151
3793 Elf1 Cd2ap
3794 Elf1 Cd44
3795 Elf1 Cd47
3796 Elf1 Cd63
3797 Elf1 Cd81
3798 Elf1 Cd9
3799 Elf1 Cdc123
3800 Elf1 Cdc42
3801 Elf1 Cdcp1
3802 Elf1 Cdkn1a
3803 Elf1 Ceacam1
3804 Elf1 Cgn
3805 Elf1 Chchd1
3806 Elf1 Chmp2a
3807 Elf1 Chmp3
3808 Elf1 Chmp4b
3809 Elf1 Cldn4
3810 Elf1 Clic1
3811 Elf1 Clic4
3812 Elf1 Clip1
3813 Elf1 Clta
3814 Elf1 Cltb
3815 Elf1 Clu
3816 Elf1 Cnbp
3817 Elf1 Cnn2
3818 Elf1 Commd3
3819 Elf1 Comt
3820 Elf1 Copb1
3821 Elf1 Cox5a
3822 Elf1 Cox5b
3823 Elf1 Cox6a1
3824 Elf1 Cox7c
3825 Elf1 Crip2
3826 Elf1 Csnk1a1
3827 Elf1 Cstb
3828 Elf1 Ctnna1
3829 Elf1 Ctsl
3830 Elf1 Cul1
3831 Elf1 Cwc15
3832 Elf1 Cxcl16
3833 Elf1 Cyc1
3834 Elf1 Cycs
3835 Elf1 Cystm1
3836 Elf1 Dctn3
3837 Elf1 Ddx21
3838 Elf1 Ddx24
3839 Elf1 Ddx3x
3840 Elf1 Denr
3841 Elf1 Dnaja1
3842 Elf1 Dnaja2
3843 Elf1 Dnajc2
3844 Elf1 Dnajc5
3845 Elf1 Dnajc8
3846 Elf1 Dnase2a
3847 Elf1 Dnm1l
3848 Elf1 Drap1
3849 Elf1 Dstn
3850 Elf1 Dync1i2
3851 Elf1 Edf1
3852 Elf1 Eef1a1
3853 Elf1 Ehd4
3854 Elf1 Eif1
3855 Elf1 Eif1a
3856 Elf1 Eif2ak2
3857 Elf1 Eif2s2
3858 Elf1 Eif3a
3859 Elf1 Eif3g
3860 Elf1 Eif4g2
3861 Elf1 Eif5
3862 Elf1 Eif5a
3863 Elf1 Eif5b
3864 Elf1 Eif6
3865 Elf1 Emc4
3866 Elf1 Emc7
3867 Elf1 Emp2
3868 Elf1 Epcam
3869 Elf1 Esd
3870 Elf1 Etf1
3871 Elf1 Ezr
3872 Elf1 F11r
3873 Elf1 Fam104a
3874 Elf1 Fam50a
3875 Elf1 Fermt2
3876 Elf1 Fkbp1a
3877 Elf1 Fkbp3
3878 Elf1 Flna
3879 Elf1 Fnbp1l
3880 Elf1 Ftl1
3881 Elf1 Fubp1
3882 Elf1 Fus
3883 Elf1 Fxr1
3884 Elf1 G3bp2
3885 Elf1 Gabarap
3886 Elf1 Gadd45b
3887 Elf1 Gapdh
3888 Elf1 Ghitm
3889 Elf1 Glrx3
3890 Elf1 Gng5
3891 Elf1 Golga4
3892 Elf1 Gpx1
3893 Elf1 Grb2
3894 Elf1 Gspt1
3895 Elf1 Gtf2f1
3896 Elf1 Gtpbp4
3897 Elf1 H1f0
3898 Elf1 H3f3b
3899 Elf1 Hbegf
3900 Elf1 H2-K1
3901 Elf1 H2-D1
3902 Elf1 Hmgn1
3903 Elf1 Hnrnpa2b1
3904 Elf1 Hnrnpab
3905 Elf1 Hnrnpc
3906 Elf1 Hnrnpu
3907 Elf1 Hsp90aa1
3908 Elf1 Hsp90ab1
3909 Elf1 Hspa5
3910 Elf1 Hspa8
3911 Elf1 Hspa9
3912 Elf1 Hspb1
3913 Elf1 Hspd1
3914 Elf1 Icam1
3915 Elf1 Ier3
3916 Elf1 Ik
3917 Elf1 Itgb1
3918 Elf1 Itgb6
3919 Elf1 Iws1
3920 Elf1 Jun
3921 Elf1 Jund
3922 Elf1 Kif5b
3923 Elf1 Klf6
3924 Elf1 Kras
3925 Elf1 Krt18
3926 Elf1 Krt19
3927 Elf1 Krt7
3928 Elf1 Krt8
3929 Elf1 Lamc2
3930 Elf1 Lamp1
3931 Elf1 Laptm4a
3932 Elf1 Las1l
3933 Elf1 Leo1
3934 Elf1 Lgals3
3935 Elf1 Lmna
3936 Elf1 Lpp
3937 Elf1 Lrrc58
3938 Elf1 Lrrfip1
3939 Elf1 Lrrfip2
3940 Elf1 Lsr
3941 Elf1 M6pr
3942 Elf1 Map1lc3b
3943 Elf1 Mdh2
3944 Elf1 Mdm2
3945 Elf1 Mea1
3946 Elf1 Metap2
3947 Elf1 Mfge8
3948 Elf1 Mif
3949 Elf1 Morf4l1
3950 Elf1 Mrps21
3951 Elf1 Msn
3952 Elf1 Mtdh
3953 Elf1 Myl12b
3954 Elf1 Myl12a
3955 Elf1 Myl6
3956 Elf1 Myof
3957 Elf1 Naa15
3958 Elf1 Nars
3959 Elf1 Ncl
3960 Elf1 Ndufa4
3961 Elf1 Ndufa5
3962 Elf1 Ndufb6
3963 Elf1 Nfkbia
3964 Elf1 Nme1
3965 Elf1 Nop56
3966 Elf1 Nop58
3967 Elf1 Npm1
3968 Elf1 Nptn
3969 Elf1 Ociad1
3970 Elf1 Otud7b
3971 Elf1 Pabpc1
3972 Elf1 Pafah1b1
3973 Elf1 Mpp5
3974 Elf1 Pam
3975 Elf1 Pdap1
3976 Elf1 Pdcd10
3977 Elf1 Pdcd5
3978 Elf1 Pdgfa
3979 Elf1 Pdia3
3980 Elf1 Pdlim1
3981 Elf1 Pfn1
3982 Elf1 Phlda1
3983 Elf1 Picalm
3984 Elf1 Pkm
3985 Elf1 Plin2
3986 Elf1 Pls3
3987 Elf1 Pmepa1
3988 Elf1 Pnn
3989 Elf1 Pnrc1
3990 Elf1 Pomp
3991 Elf1 Ppia
3992 Elf1 Ppp1r15a
3993 Elf1 Ppp2r2a
3994 Elf1 Prdx1
3995 Elf1 Prpf40a
3996 Elf1 Psma2
3997 Elf1 Psma5
3998 Elf1 Psma6
3999 Elf1 Psma7
4000 Elf1 Psmb1
4001 Elf1 Psmb2
4002 Elf1 Psmb3
4003 Elf1 Psmb6
4004 Elf1 Psmc1
4005 Elf1 Psmc3
4006 Elf1 Psmc4
4007 Elf1 Psmc5
4008 Elf1 Psmd11
4009 Elf1 Psmd12
4010 Elf1 Psmd4
4011 Elf1 Psmd7
4012 Elf1 Psmd8
4013 Elf1 Psme2
4014 Elf1 Ptp4a2
4015 Elf1 Ptpn11
4016 Elf1 Pttg1ip
4017 Elf1 Rab10
4018 Elf1 Rab6a
4019 Elf1 Rab7
4020 Elf1 Rac1
4021 Elf1 Rala
4022 Elf1 Ran
4023 Elf1 Ranbp1
4024 Elf1 Rangap1
4025 Elf1 Rap1b
4026 Elf1 Rbm8a
4027 Elf1 Rbms1
4028 Elf1 Rbx1
4029 Elf1 Rin2
4030 Elf1 Rnf11
4031 Elf1 Rnh1
4032 Elf1 Rpl12
4033 Elf1 Rpl13a
4034 Elf1 Rpl15
4035 Elf1 Rpl17
4036 Elf1 Rpl19
4037 Elf1 Rpl23
4038 Elf1 Rpl27a
4039 Elf1 Rpl28
4040 Elf1 Rpl32
4041 Elf1 Rpl35
4042 Elf1 Rpl38
4043 Elf1 Rpl6
4044 Elf1 Rpl7
4045 Elf1 Rplp0
4046 Elf1 Rplp2
4047 Elf1 Rps11
4048 Elf1 Rps16
4049 Elf1 Rps19
4050 Elf1 Rps19bp1
4051 Elf1 Rps23
4052 Elf1 Rps27l
4053 Elf1 Rps5
4054 Elf1 Rps6
4055 Elf1 Rps8
4056 Elf1 Rtn4
4057 Elf1 S100a10
4058 Elf1 S100a11
4059 Elf1 S100a14
4060 Elf1 S100a6
4061 Elf1 Sat1
4062 Elf1 Sbds
4063 Elf1 Sdc4
4064 Elf1 Sdcbp
4065 Elf1 Sdf4
4066 Elf1 Sec62
4067 Elf1 Serbp1
4068 Elf1 Serinc1
4069 Elf1 Serpinb6a
4070 Elf1 Serpinb9
4071 Elf1 Set
4072 Elf1 Sf3b1
4073 Elf1 Sfn
4074 Elf1 Sfr1
4075 Elf1 Sh3glb1
4076 Elf1 Slc25a3
4077 Elf1 Slirp
4078 Elf1 Slk
4079 Elf1 Slu7
4080 Elf1 Snrnp70
4081 Elf1 Snrpb
4082 Elf1 Snx3
4083 Elf1 Snx6
4084 Elf1 Sox4
4085 Elf1 Sparc
4086 Elf1 Spcs1
4087 Elf1 Sqstm1
4088 Elf1 Srp14
4089 Elf1 Srsf2
4090 Elf1 Srsf5
4091 Elf1 Ssb
4092 Elf1 St13
4093 Elf1 Stub1
4094 Elf1 Supt5
4095 Elf1 Syap1
4096 Elf1 Syf2
4097 Elf1 Taldo1
4098 Elf1 Taok1
4099 Elf1 Tax1bp1
4100 Elf1 Tbrg1
4101 Elf1 Tcf25
4102 Elf1 Tcp1
4103 Elf1 Tes
4104 Elf1 Tjp2
4105 Elf1 Tm9sf3
4106 Elf1 Tmem234
4107 Elf1 Tmem50a
4108 Elf1 Tmem59
4109 Elf1 Tmod3
4110 Elf1 Tnfrsf12a
4111 Elf1 Tnip3
4112 Elf1 Trp53
4113 Elf1 Tpd52
4114 Elf1 Tpd52l2
4115 Elf1 Tpm1
4116 Elf1 Tpm3
4117 Elf1 Tpm3-rs7
4118 Elf1 Tpm4
4119 Elf1 Tra2b
4120 Elf1 Trappc1
4121 Elf1 Trappc4
4122 Elf1 Tsg101
4123 Elf1 Tspo
4124 Elf1 Ttc1
4125 Elf1 Tuba1c
4126 Elf1 Txn1
4127 Elf1 Txndc17
4128 Elf1 Txndc9
4129 Elf1 Txnl1
4130 Elf1 Txnrd1
4131 Elf1 Ubb
4132 Elf1 Ubc
4133 Elf1 Ube2b
4134 Elf1 Ube2d3
4135 Elf1 Ube2k
4136 Elf1 Ube2r2
4137 Elf1 Ubxn1
4138 Elf1 Ubxn2a
4139 Elf1 Ubxn4
4140 Elf1 Uqcrb
4141 Elf1 Usp16
4142 Elf1 Utp3
4143 Elf1 Vdac2
4144 Elf1 Vmp1
4145 Elf1 Vps36
4146 Elf1 Vti1b
4147 Elf1 Wbp4
4148 Elf1 Xrn2
4149 Elf1 Ywhab
4150 Elf1 Ywhah
4151 Elf1 Ywhaz
4152 Elf1 Zc3h15
4153 Elf1 Zcrb1
4154 Elf1 Zfand5
4155 Elf1 Zfp36l1
4156 Elf1 D8Ertd738e
4157 Ep300 Acbd3
4158 Ep300 Acbd5
4159 Ep300 Actb
4160 Ep300 Actg1
4161 Ep300 Actn1
4162 Ep300 Actn4
4163 Ep300 Ahnak
4164 Ep300 Akr1b8
4165 Ep300 Aldoa
4166 Ep300 Ano6
4167 Ep300 Anxa1
4168 Ep300 Anxa2
4169 Ep300 Anxa3
4170 Ep300 Anxa5
4171 Ep300 Anxa7
4172 Ep300 App
4173 Ep300 Arf1
4174 Ep300 Arl1
4175 Ep300 Arl4c
4176 Ep300 Arpc2
4177 Ep300 Arpc5
4178 Ep300 Arpp19
4179 Ep300 Atf4
4180 Ep300 Atp6ap1
4181 Ep300 Atp6v0b
4182 Ep300 Atp6v0e
4183 Ep300 Atp6v1d
4184 Ep300 Atp6v1e1
4185 Ep300 Atxn10
4186 Ep300 B2m
4187 Ep300 Bcap31
4188 Ep300 Bnip2
4189 Ep300 Bnip3l
4190 Ep300 Brd4
4191 Ep300 Bzw1
4192 Ep300 D8Ertd738e
4193 Ep300 BC005537
4194 Ep300 Cacybp
4195 Ep300 Cald1
4196 Ep300 Calm1
4197 Ep300 Calm2
4198 Ep300 Calr
4199 Ep300 Canx
4200 Ep300 Capns1
4201 Ep300 Capzb
4202 Ep300 Cast
4203 Ep300 Ccdc25
4204 Ep300 Ccnd1
4205 Ep300 Ccnd2
4206 Ep300 Ccng1
4207 Ep300 Ccnl1
4208 Ep300 Cct2
4209 Ep300 Cct3
4210 Ep300 Cct4
4211 Ep300 Cd151
4212 Ep300 Cd2ap
4213 Ep300 Cd44
4214 Ep300 Cd47
4215 Ep300 Cd63
4216 Ep300 Cd81
4217 Ep300 Cd9
4218 Ep300 Cdc123
4219 Ep300 Cdc42
4220 Ep300 Cdcp1
4221 Ep300 Cdkn1a
4222 Ep300 Ceacam1
4223 Ep300 Cgn
4224 Ep300 Chchd1
4225 Ep300 Chd1
4226 Ep300 Chmp2a
4227 Ep300 Chmp3
4228 Ep300 Chmp4b
4229 Ep300 Cldn4
4230 Ep300 Clic1
4231 Ep300 Clic4
4232 Ep300 Clic5
4233 Ep300 Clip1
4234 Ep300 Clta
4235 Ep300 Cltb
4236 Ep300 Clu
4237 Ep300 Cnbp
4238 Ep300 Cnn2
4239 Ep300 Commd3
4240 Ep300 Comt
4241 Ep300 Copb1
4242 Ep300 Cox5a
4243 Ep300 Cox5b
4244 Ep300 Cox6a1
4245 Ep300 Cox7c
4246 Ep300 Crip2
4247 Ep300 Cryab
4248 Ep300 Csnk1a1
4249 Ep300 Cstb
4250 Ep300 Ctnna1
4251 Ep300 Ctsl
4252 Ep300 Cul1
4253 Ep300 Cwc15
4254 Ep300 Cxcl16
4255 Ep300 Cyc1
4256 Ep300 Cycs
4257 Ep300 Cystm1
4258 Ep300 Dctn3
4259 Ep300 Ddx21
4260 Ep300 Ddx24
4261 Ep300 Ddx3x
4262 Ep300 Denr
4263 Ep300 Dnaja1
4264 Ep300 Dnaja2
4265 Ep300 Dnajc2
4266 Ep300 Dnajc5
4267 Ep300 Dnajc8
4268 Ep300 Dnase2a
4269 Ep300 Dnm1l
4270 Ep300 Drap1
4271 Ep300 Dstn
4272 Ep300 Dync1i2
4273 Ep300 Edf1
4274 Ep300 Eef1a1
4275 Ep300 Ehd4
4276 Ep300 Eif1
4277 Ep300 Eif1a
4278 Ep300 Eif2ak2
4279 Ep300 Eif2s2
4280 Ep300 Eif3a
4281 Ep300 Eif3c
4282 Ep300 Eif3g
4283 Ep300 Eif4g2
4284 Ep300 Eif5
4285 Ep300 Eif5a
4286 Ep300 Eif5b
4287 Ep300 Eif6
4288 Ep300 Emc4
4289 Ep300 Emc7
4290 Ep300 Emp2
4291 Ep300 Epcam
4292 Ep300 Esd
4293 Ep300 Etf1
4294 Ep300 Ezr
4295 Ep300 F11r
4296 Ep300 F3
4297 Ep300 Fam104a
4298 Ep300 Fam50a
4299 Ep300 Fermt2
4300 Ep300 Fkbp1a
4301 Ep300 Fkbp3
4302 Ep300 Flna
4303 Ep300 Fnbp1l
4304 Ep300 Ftl1
4305 Ep300 Fubp1
4306 Ep300 Fus
4307 Ep300 Fxr1
4308 Ep300 G3bp2
4309 Ep300 Gabarap
4310 Ep300 Gadd45b
4311 Ep300 Gapdh
4312 Ep300 Ghitm
4313 Ep300 Glrx3
4314 Ep300 Gnas
4315 Ep300 Gng5
4316 Ep300 Golga4
4317 Ep300 Gpx1
4318 Ep300 Grb2
4319 Ep300 Gspt1
4320 Ep300 Gtf2f1
4321 Ep300 Gtpbp4
4322 Ep300 H1f0
4323 Ep300 H3f3b
4324 Ep300 Hbegf
4325 Ep300 H2-D1
4326 Ep300 H2-K1
4327 Ep300 Hmgn1
4328 Ep300 Hnrnpa2b1
4329 Ep300 Hnrnpab
4330 Ep300 Hnrnpc
4331 Ep300 Hnrnpu
4332 Ep300 Hsp90aa1
4333 Ep300 Hsp90ab1
4334 Ep300 Hspa5
4335 Ep300 Hspa8
4336 Ep300 Hspa9
4337 Ep300 Hspb1
4338 Ep300 Hspd1
4339 Ep300 Icam1
4340 Ep300 Ier3
4341 Ep300 Igfbp7
4342 Ep300 Ik
4343 Ep300 Itgb1
4344 Ep300 Itgb6
4345 Ep300 Iws1
4346 Ep300 Jun
4347 Ep300 Jund
4348 Ep300 Kif5b
4349 Ep300 Klf6
4350 Ep300 Kras
4351 Ep300 Krt18
4352 Ep300 Krt19
4353 Ep300 Krt7
4354 Ep300 Krt8
4355 Ep300 Lamb3
4356 Ep300 Lamc2
4357 Ep300 Lamp1
4358 Ep300 Laptm4a
4359 Ep300 Las1l
4360 Ep300 Leo1
4361 Ep300 Lgals3
4362 Ep300 Lmna
4363 Ep300 Lmo7
4364 Ep300 Lpp
4365 Ep300 Lrrc58
4366 Ep300 Lrrfip1
4367 Ep300 Lrrfip2
4368 Ep300 Lsr
4369 Ep300 M6pr
4370 Ep300 Mal
4371 Ep300 Map1lc3b
4372 Ep300 Mdh2
4373 Ep300 Mdm2
4374 Ep300 Mea1
4375 Ep300 Metap2
4376 Ep300 Mfge8
4377 Ep300 Mif
4378 Ep300 Morf4l1
4379 Ep300 Mrps21
4380 Ep300 Msn
4381 Ep300 Mtdh
4382 Ep300 Myl12b
4383 Ep300 Myl12a
4384 Ep300 Myl6
4385 Ep300 Myof
4386 Ep300 Naa15
4387 Ep300 Nars
4388 Ep300 Ncl
4389 Ep300 Ndnf
4390 Ep300 Ndufa4
4391 Ep300 Ndufa5
4392 Ep300 Ndufb6
4393 Ep300 Nfkbia
4394 Ep300 Nme1
4395 Ep300 Nop56
4396 Ep300 Nop58
4397 Ep300 Npm1
4398 Ep300 Nptn
4399 Ep300 Nupr1
4400 Ep300 Ociad1
4401 Ep300 Otud7b
4402 Ep300 Pabpc1
4403 Ep300 Pafah1b1
4404 Ep300 Mpp5
4405 Ep300 Pam
4406 Ep300 Pdap1
4407 Ep300 Pdcd10
4408 Ep300 Pdcd5
4409 Ep300 Pdgfa
4410 Ep300 Pdia3
4411 Ep300 Pdlim1
4412 Ep300 Pfn1
4413 Ep300 Phlda1
4414 Ep300 Phldb2
4415 Ep300 Picalm
4416 Ep300 Pkm
4417 Ep300 Plin2
4418 Ep300 Pls3
4419 Ep300 Pmepa1
4420 Ep300 Pnn
4421 Ep300 Pnrc1
4422 Ep300 Pomp
4423 Ep300 Ppia
4424 Ep300 Ppp1r15a
4425 Ep300 Ppp2r2a
4426 Ep300 Prdx1
4427 Ep300 Prpf40a
4428 Ep300 Psma2
4429 Ep300 Psma5
4430 Ep300 Psma6
4431 Ep300 Psma7
4432 Ep300 Psmb1
4433 Ep300 Psmb2
4434 Ep300 Psmb3
4435 Ep300 Psmb6
4436 Ep300 Psmc1
4437 Ep300 Psmc3
4438 Ep300 Psmc4
4439 Ep300 Psmc5
4440 Ep300 Psmd11
4441 Ep300 Psmd12
4442 Ep300 Psmd4
4443 Ep300 Psmd7
4444 Ep300 Psmd8
4445 Ep300 Psme2
4446 Ep300 Ptp4a2
4447 Ep300 Ptpn11
4448 Ep300 Pttg1ip
4449 Ep300 Rab10
4450 Ep300 Rab6a
4451 Ep300 Rab7
4452 Ep300 Rac1
4453 Ep300 Rala
4454 Ep300 Ran
4455 Ep300 Ranbp1
4456 Ep300 Rangap1
4457 Ep300 Rap1b
4458 Ep300 Rbm8a
4459 Ep300 Rbms1
4460 Ep300 Rbx1
4461 Ep300 Rin2
4462 Ep300 Rnf11
4463 Ep300 Rnh1
4464 Ep300 Rpl12
4465 Ep300 Rpl13a
4466 Ep300 Rpl15
4467 Ep300 Rpl17
4468 Ep300 Rpl19
4469 Ep300 Rpl23
4470 Ep300 Rpl27a
4471 Ep300 Rpl28
4472 Ep300 Rpl32
4473 Ep300 Rpl35
4474 Ep300 Rpl38
4475 Ep300 Rpl6
4476 Ep300 Rpl7
4477 Ep300 Rplp0
4478 Ep300 Rplp2
4479 Ep300 Rps11
4480 Ep300 Rps16
4481 Ep300 Rps18
4482 Ep300 Rps19
4483 Ep300 Rps19bp1
4484 Ep300 Rps23
4485 Ep300 Rps27l
4486 Ep300 Rps5
4487 Ep300 Rps6
4488 Ep300 Rps8
4489 Ep300 Rtn4
4490 Ep300 S100a10
4491 Ep300 S100a11
4492 Ep300 S100a14
4493 Ep300 S100a6
4494 Ep300 Sat1
4495 Ep300 Sbds
4496 Ep300 Sdc4
4497 Ep300 Sdcbp
4498 Ep300 Sdf4
4499 Ep300 Sec62
4500 Ep300 Serbp1
4501 Ep300 Serinc1
4502 Ep300 Serpinb6a
4503 Ep300 Serpinb9
4504 Ep300 Set
4505 Ep300 Sf3b1
4506 Ep300 Sfn
4507 Ep300 Sfr1
4508 Ep300 Sh3d19
4509 Ep300 Sh3glb1
4510 Ep300 Shroom3
4511 Ep300 Slc25a3
4512 Ep300 Slirp
4513 Ep300 Slk
4514 Ep300 Slu7
4515 Ep300 Snrnp70
4516 Ep300 Snrpb
4517 Ep300 Snx3
4518 Ep300 Snx6
4519 Ep300 Sox4
4520 Ep300 Sparc
4521 Ep300 Spcs1
4522 Ep300 Sqstm1
4523 Ep300 Srp14
4524 Ep300 Srsf2
4525 Ep300 Srsf5
4526 Ep300 Ssb
4527 Ep300 St13
4528 Ep300 Stub1
4529 Ep300 Supt5
4530 Ep300 Syap1
4531 Ep300 Syf2
4532 Ep300 Taldo1
4533 Ep300 Taok1
4534 Ep300 Tax1bp1
4535 Ep300 Tbrg1
4536 Ep300 Tcf25
4537 Ep300 Tcp1
4538 Ep300 Tes
4539 Ep300 Timp2
4540 Ep300 Tjp2
4541 Ep300 Tm9sf3
4542 Ep300 Tmem234
4543 Ep300 Tmem50a
4544 Ep300 Tmem59
4545 Ep300 Tmod3
4546 Ep300 Tnfrsf12a
4547 Ep300 Tnip3
4548 Ep300 Trp53
4549 Ep300 Tpd52
4550 Ep300 Tpd52l2
4551 Ep300 Tpm1
4552 Ep300 Tpm3
4553 Ep300 Tpm3-rs7
4554 Ep300 Tpm4
4555 Ep300 Tra2b
4556 Ep300 Trappc1
4557 Ep300 Trappc4
4558 Ep300 Tsg101
4559 Ep300 Tspan8
4560 Ep300 Tspo
4561 Ep300 Ttc1
4562 Ep300 Tuba1c
4563 Ep300 Txn1
4564 Ep300 Txndc17
4565 Ep300 Txndc9
4566 Ep300 Txnl1
4567 Ep300 Txnrd1
4568 Ep300 Ubb
4569 Ep300 Ubc
4570 Ep300 Ube2b
4571 Ep300 Ube2d3
4572 Ep300 Ube2k
4573 Ep300 Ube2r2
4574 Ep300 Ubxn1
4575 Ep300 Ubxn2a
4576 Ep300 Ubxn4
4577 Ep300 Uqcrb
4578 Ep300 Usp16
4579 Ep300 Utp3
4580 Ep300 Vdac2
4581 Ep300 Vmp1
4582 Ep300 Vps36
4583 Ep300 Vti1b
4584 Ep300 Wbp4
4585 Ep300 Wls
4586 Ep300 Xrn2
4587 Ep300 Ywhab
4588 Ep300 Ywhah
4589 Ep300 Ywhaz
4590 Ep300 Zc3h15
4591 Ep300 Zcrb1
4592 Ep300 Zfand5
4593 Ep300 Zfp36l1
4594 Ep300 Areg
4595 Ep300 2200002D01Rik
4596 Ets1 Acbd3
4597 Ets1 Acbd5
4598 Ets1 Actb
4599 Ets1 Actg1
4600 Ets1 Actn1
4601 Ets1 Actn4
4602 Ets1 Ahnak
4603 Ets1 Akr1b8
4604 Ets1 Aldoa
4605 Ets1 Ano6
4606 Ets1 Anxa2
4607 Ets1 Anxa3
4608 Ets1 Anxa5
4609 Ets1 Anxa7
4610 Ets1 App
4611 Ets1 Arf1
