TF TG
249 Atf3 Rpl38
250 Atf3 Rpl6
251 Atf3 Rpl7
252 Atf3 Rplp0
253 Atf3 Rplp2
254 Atf3 Rps11
255 Atf3 Rps16
256 Atf3 Rps19
257 Atf3 Rps23
258 Atf3 Rps27l
259 Atf3 Rps5
260 Atf3 Rps6
261 Atf3 Rps8
262 Atf3 Rtn4
263 Atf3 S100a10
264 Atf3 S100a6
265 Atf3 Sat1
266 Atf3 Sbds
267 Atf3 Sdc4
268 Atf3 Sdf4
269 Atf3 Serbp1
270 Atf3 Serinc1
271 Atf3 Serpinb6a
272 Atf3 Serpinb9
273 Atf3 Sf3b1
274 Atf3 Sfn
275 Atf3 Sfr1
276 Atf3 Sh3glb1
277 Atf3 Slc25a3
278 Atf3 Slirp
279 Atf3 Slk
280 Atf3 Snrnp70
281 Atf3 Snrpb
282 Atf3 Snx3
283 Atf3 Snx6
284 Atf3 Spcs1
285 Atf3 Sqstm1
286 Atf3 Srp14
287 Atf3 Srsf2
288 Atf3 Ssb
289 Atf3 St13
290 Atf3 Stub1
291 Atf3 Supt5
292 Atf3 Syap1
293 Atf3 Syf2
294 Atf3 Taok1
295 Atf3 Tcf25
296 Atf3 Tcp1
297 Atf3 Tes
298 Atf3 Tm9sf3
299 Atf3 Tmem234
300 Atf3 Tmem59
301 Atf3 Tnfrsf12a
302 Atf3 Trp53
303 Atf3 Tpd52
304 Atf3 Tpd52l2
305 Atf3 Tpm1
306 Atf3 Tpm3
307 Atf3 Tpm3-rs7
308 Atf3 Tpm4
309 Atf3 Tra2b
310 Atf3 Tsg101
311 Atf3 Tspo
312 Atf3 Ttc1
313 Atf3 Tuba1c
314 Atf3 Txn1
315 Atf3 Txndc17
316 Atf3 Txndc9
317 Atf3 Txnl1
318 Atf3 Txnrd1
319 Atf3 Ubb
320 Atf3 Ubc
321 Atf3 Ube2b
322 Atf3 Ube2d3
323 Atf3 Ube2r2
324 Atf3 Ubxn1
325 Atf3 Ubxn4
326 Atf3 Usp16
327 Atf3 Utp3
328 Atf3 Vdac2
329 Atf3 Vmp1
330 Atf3 Vps36
331 Atf3 Wbp4
332 Atf3 Xrn2
333 Atf3 Ywhab
334 Atf3 Ywhaz
335 Atf3 Zc3h15
336 Atf3 Zcrb1
337 Atf3 Zfand5
338 Atf3 Zfp36l1
339 Atf3 Chd1
340 Atf3 Lpp
341 Atf3 Psme2
342 Atf3 Rps18
343 Atf3 Eif2ak2
344 Atf3 Tax1bp1
345 Atf3 Uqcrb
346 Atf3 Pdgfa
347 Atf3 Cldn18
348 Atf3 Ube2k
349 Bclaf1 Acbd3
350 Bclaf1 Acbd5
351 Bclaf1 Actb
352 Bclaf1 Actg1
353 Bclaf1 Actn4
354 Bclaf1 Aldoa
355 Bclaf1 Ano6
356 Bclaf1 Anxa1
357 Bclaf1 Anxa2
358 Bclaf1 Anxa5
359 Bclaf1 Anxa7
360 Bclaf1 App
361 Bclaf1 Arf1
362 Bclaf1 Arl1
363 Bclaf1 Arpc2
364 Bclaf1 Arpc5
365 Bclaf1 Arpp19
366 Bclaf1 Atf4
367 Bclaf1 Atp6v0b
368 Bclaf1 Atp6v0e
369 Bclaf1 Atp6v1d
370 Bclaf1 Atxn10
371 Bclaf1 B2m
372 Bclaf1 Bnip2
373 Bclaf1 Bnip3l
374 Bclaf1 Bzw1
375 Bclaf1 Cacybp
376 Bclaf1 Calm1
377 Bclaf1 Calm2
378 Bclaf1 Calr
379 Bclaf1 Canx
380 Bclaf1 Capns1
381 Bclaf1 Capzb
382 Bclaf1 Cast
383 Bclaf1 Ccdc25
384 Bclaf1 Ccnd2
385 Bclaf1 Ccng1
386 Bclaf1 Ccnl1
387 Bclaf1 Cct2
388 Bclaf1 Cct3
389 Bclaf1 Cct4
390 Bclaf1 Cd2ap
391 Bclaf1 Cd44
392 Bclaf1 Cd47
393 Bclaf1 Cd63
394 Bclaf1 Cdc123
395 Bclaf1 Cdc42
396 Bclaf1 Ceacam1
397 Bclaf1 Chchd1
398 Bclaf1 Chd1
399 Bclaf1 Chmp2a
400 Bclaf1 Chmp3
401 Bclaf1 Chmp4b
402 Bclaf1 Clic4
403 Bclaf1 Clip1
404 Bclaf1 Clta
405 Bclaf1 Cltb
406 Bclaf1 Cnbp
407 Bclaf1 Cnn2
408 Bclaf1 Commd3
409 Bclaf1 Copb1
410 Bclaf1 Cox5a
411 Bclaf1 Cox5b
412 Bclaf1 Cox7c
413 Bclaf1 Csnk1a1
414 Bclaf1 Cul1
415 Bclaf1 Cwc15
416 Bclaf1 Cyc1
417 Bclaf1 Cycs
418 Bclaf1 Cystm1
419 Bclaf1 Ddx21
420 Bclaf1 Ddx24
421 Bclaf1 Ddx3x
422 Bclaf1 Denr
423 Bclaf1 Dnaja1
424 Bclaf1 Dnaja2
425 Bclaf1 Dnajc2
426 Bclaf1 Dnajc5
427 Bclaf1 Dnase2a
428 Bclaf1 Dnm1l
429 Bclaf1 Drap1
430 Bclaf1 Dync1i2
431 Bclaf1 Edf1
432 Bclaf1 Eef1a1
433 Bclaf1 Ehd4
434 Bclaf1 Eif1
435 Bclaf1 Eif2s2
436 Bclaf1 Eif3a
437 Bclaf1 Eif3g
438 Bclaf1 Eif4g2
439 Bclaf1 Eif5
440 Bclaf1 Eif5a
441 Bclaf1 Eif5b
442 Bclaf1 Eif6
443 Bclaf1 Emc4
444 Bclaf1 Emc7
445 Bclaf1 Esd
446 Bclaf1 Etf1
447 Bclaf1 Ezr
448 Bclaf1 F11r
449 Bclaf1 Fam104a
450 Bclaf1 Fkbp1a
451 Bclaf1 Fkbp3
452 Bclaf1 Ftl1
453 Bclaf1 Fubp1
454 Bclaf1 Fus
455 Bclaf1 Fxr1
456 Bclaf1 G3bp2
457 Bclaf1 Gabarap
458 Bclaf1 Gadd45b
459 Bclaf1 Gapdh
460 Bclaf1 Glrx3
461 Bclaf1 Gng5
462 Bclaf1 Golga4
463 Bclaf1 Gpx1
464 Bclaf1 Grb2
465 Bclaf1 Gspt1
466 Bclaf1 Gtf2f1
467 Bclaf1 Gtpbp4
468 Bclaf1 H3f3b
469 Bclaf1 H2-K1
470 Bclaf1 H2-D1
471 Bclaf1 Hmgn1
472 Bclaf1 Hnrnpa2b1
473 Bclaf1 Hnrnpab
474 Bclaf1 Hnrnpc
475 Bclaf1 Hnrnpu
476 Bclaf1 Hsp90ab1
477 Bclaf1 Hspa5
478 Bclaf1 Hspa8
479 Bclaf1 Hspa9
480 Bclaf1 Hspb1
481 Bclaf1 Hspd1
482 Bclaf1 Icam1
483 Bclaf1 Ier3
484 Bclaf1 Ik
485 Bclaf1 Itgb1
486 Bclaf1 Iws1
487 Bclaf1 Jun
488 Bclaf1 Jund
489 Bclaf1 Kif5b
490 Bclaf1 Klf6
491 Bclaf1 Kras
492 Bclaf1 Lamp1
493 Bclaf1 Laptm4a
494 Bclaf1 Las1l
495 Bclaf1 Leo1
496 Bclaf1 Lgals3
497 Bclaf1 Lrrc58
498 Bclaf1 Lrrfip2
499 Bclaf1 Lsr
500 Bclaf1 M6pr
501 Bclaf1 Map1lc3b
502 Bclaf1 Mdh2
503 Bclaf1 Mdm2
504 Bclaf1 Mea1
505 Bclaf1 Metap2
506 Bclaf1 Mif
507 Bclaf1 Morf4l1
508 Bclaf1 Mrps21
509 Bclaf1 Mtdh
510 Bclaf1 Myl12b
511 Bclaf1 Myl12a
512 Bclaf1 Myl6
513 Bclaf1 Myof
514 Bclaf1 Naa15
515 Bclaf1 Nars
516 Bclaf1 Ncl
517 Bclaf1 Ndufa4
518 Bclaf1 Ndufa5
519 Bclaf1 Ndufb6
520 Bclaf1 Nfkbia
521 Bclaf1 Nme1
522 Bclaf1 Nop56
523 Bclaf1 Nop58
524 Bclaf1 Npm1
525 Bclaf1 Ociad1
526 Bclaf1 Otud7b
527 Bclaf1 Pabpc1
528 Bclaf1 Pafah1b1
529 Bclaf1 Mpp5
530 Bclaf1 Pam
531 Bclaf1 Pdap1
532 Bclaf1 Pdcd10
533 Bclaf1 Pdcd5
534 Bclaf1 Pdlim1
535 Bclaf1 Pfn1
536 Bclaf1 Phlda1
537 Bclaf1 Picalm
538 Bclaf1 Pkm
539 Bclaf1 Plin2
540 Bclaf1 Pnn
541 Bclaf1 Pnrc1
542 Bclaf1 Pomp
543 Bclaf1 Ppia
544 Bclaf1 Ppp1r15a
545 Bclaf1 Ppp2r2a
546 Bclaf1 Prdx1
547 Bclaf1 Prpf40a
548 Bclaf1 Psma2
549 Bclaf1 Psma5
550 Bclaf1 Psma6
551 Bclaf1 Psma7
552 Bclaf1 Psmb1
553 Bclaf1 Psmb2
554 Bclaf1 Psmb3
555 Bclaf1 Psmb6
556 Bclaf1 Psmc1
557 Bclaf1 Psmc3
558 Bclaf1 Psmc4
559 Bclaf1 Psmc5
560 Bclaf1 Psmd11
561 Bclaf1 Psmd12
562 Bclaf1 Psmd4
563 Bclaf1 Psmd7
564 Bclaf1 Psmd8
565 Bclaf1 Psme2
566 Bclaf1 Ptp4a2
567 Bclaf1 Ptpn11
568 Bclaf1 Rab10
569 Bclaf1 Rab6a
570 Bclaf1 Rab7
571 Bclaf1 Rac1
572 Bclaf1 Rala
573 Bclaf1 Ran
574 Bclaf1 Ranbp1
575 Bclaf1 Rangap1
576 Bclaf1 Rap1b
577 Bclaf1 Rbm8a
578 Bclaf1 Rbx1
579 Bclaf1 Rnf11
580 Bclaf1 Rnh1
581 Bclaf1 Rpl12
582 Bclaf1 Rpl13a
583 Bclaf1 Rpl15
584 Bclaf1 Rpl17
585 Bclaf1 Rpl19
586 Bclaf1 Rpl23
587 Bclaf1 Rpl27a
588 Bclaf1 Rpl28
589 Bclaf1 Rpl32
590 Bclaf1 Rpl35
591 Bclaf1 Rpl38
592 Bclaf1 Rpl6
593 Bclaf1 Rpl7
594 Bclaf1 Rplp0
595 Bclaf1 Rplp2
596 Bclaf1 Rps11
597 Bclaf1 Rps16
598 Bclaf1 Rps19
599 Bclaf1 Rps19bp1
600 Bclaf1 Rps23
601 Bclaf1 Rps27l
602 Bclaf1 Rps5
603 Bclaf1 Rps6
604 Bclaf1 Rps8
605 Bclaf1 Rtn4
606 Bclaf1 Sat1
607 Bclaf1 Sbds
608 Bclaf1 Sdf4
609 Bclaf1 Sec62
610 Bclaf1 Serbp1
611 Bclaf1 Serinc1
612 Bclaf1 Set
613 Bclaf1 Sf3b1
614 Bclaf1 Sfn
615 Bclaf1 Sfr1
616 Bclaf1 Sh3glb1
617 Bclaf1 Slc25a3
618 Bclaf1 Slirp
619 Bclaf1 Slk
620 Bclaf1 Slu7
621 Bclaf1 Snrnp70
622 Bclaf1 Snrpb
623 Bclaf1 Snx3
624 Bclaf1 Sox4
625 Bclaf1 Spcs1
626 Bclaf1 Sqstm1
627 Bclaf1 Srsf2
628 Bclaf1 Srsf5
629 Bclaf1 Ssb
630 Bclaf1 St13
631 Bclaf1 Stub1
632 Bclaf1 Supt5
633 Bclaf1 Syf2
634 Bclaf1 Taldo1
635 Bclaf1 Taok1
636 Bclaf1 Tax1bp1
637 Bclaf1 Tbrg1
638 Bclaf1 Tcf25
639 Bclaf1 Tcp1
640 Bclaf1 Tes
641 Bclaf1 Tjp2
642 Bclaf1 Tm9sf3
643 Bclaf1 Tmem234
644 Bclaf1 Tmem59
645 Bclaf1 Tnfrsf12a
646 Bclaf1 Trp53
647 Bclaf1 Tpd52
648 Bclaf1 Tpd52l2
649 Bclaf1 Tra2b
650 Bclaf1 Trappc1
651 Bclaf1 Trappc4
652 Bclaf1 Tsg101
653 Bclaf1 Ttc1
654 Bclaf1 Tuba1c
655 Bclaf1 Txn1
656 Bclaf1 Txndc17
657 Bclaf1 Txndc9
658 Bclaf1 Txnl1
659 Bclaf1 Txnrd1
660 Bclaf1 Ubb
661 Bclaf1 Ubc
662 Bclaf1 Ube2b
663 Bclaf1 Ube2d3
664 Bclaf1 Ube2k
665 Bclaf1 Ube2r2
666 Bclaf1 Ubxn1
667 Bclaf1 Ubxn2a
668 Bclaf1 Ubxn4
669 Bclaf1 Usp16
670 Bclaf1 Utp3
671 Bclaf1 Vdac2
672 Bclaf1 Vmp1
673 Bclaf1 Vps36
674 Bclaf1 Vti1b
675 Bclaf1 Wbp4
676 Bclaf1 Xrn2
677 Bclaf1 Ywhab
678 Bclaf1 Ywhaz
679 Bclaf1 Zc3h15
680 Bclaf1 Zcrb1
681 Bclaf1 Zfand5
682 Bclaf1 Zfp36l1
683 Bclaf1 Clic1
684 Bclaf1 2200002D01Rik
685 Bclaf1 Krt18
686 Bclaf1 Msn
687 Bclaf1 Tnip3
688 Bhlhe40 Acbd3
689 Bhlhe40 Acbd5
690 Bhlhe40 Actb
691 Bhlhe40 Actg1
692 Bhlhe40 Actn1
693 Bhlhe40 Actn4
694 Bhlhe40 Ahnak
695 Bhlhe40 Akr1b8
696 Bhlhe40 Aldoa
697 Bhlhe40 Ano6
698 Bhlhe40 Anxa2
699 Bhlhe40 Anxa3
700 Bhlhe40 Anxa5
701 Bhlhe40 Anxa7
702 Bhlhe40 App
703 Bhlhe40 Arf1
704 Bhlhe40 Arl1
705 Bhlhe40 Arl4c
706 Bhlhe40 Arpc2
707 Bhlhe40 Arpc5
708 Bhlhe40 Arpp19
709 Bhlhe40 Atf4
710 Bhlhe40 Atp6ap1
711 Bhlhe40 Atp6v0b
712 Bhlhe40 Atp6v0e
713 Bhlhe40 Atp6v1d
714 Bhlhe40 Atp6v1e1
715 Bhlhe40 Atxn10
716 Bhlhe40 B2m
717 Bhlhe40 Bcap31
718 Bhlhe40 Bnip2
719 Bhlhe40 Bnip3l
720 Bhlhe40 Brd4
721 Bhlhe40 Bzw1
722 Bhlhe40 D8Ertd738e
723 Bhlhe40 BC005537
724 Bhlhe40 Cacybp
725 Bhlhe40 Calm1
726 Bhlhe40 Calm2
727 Bhlhe40 Calr
728 Bhlhe40 Canx
729 Bhlhe40 Capns1
730 Bhlhe40 Capzb
731 Bhlhe40 Cast
732 Bhlhe40 Ccdc25
733 Bhlhe40 Ccnd1
734 Bhlhe40 Ccnd2
735 Bhlhe40 Ccng1
736 Bhlhe40 Ccnl1
737 Bhlhe40 Cct2
738 Bhlhe40 Cct3
739 Bhlhe40 Cct4
740 Bhlhe40 Cd151
741 Bhlhe40 Cd2ap
742 Bhlhe40 Cd44
743 Bhlhe40 Cd47
744 Bhlhe40 Cd63
745 Bhlhe40 Cd81
746 Bhlhe40 Cdc123
747 Bhlhe40 Cdc42
748 Bhlhe40 Cdcp1
749 Bhlhe40 Cdkn1a
750 Bhlhe40 Ceacam1
751 Bhlhe40 Cgn
752 Bhlhe40 Chchd1
753 Bhlhe40 Chd1
754 Bhlhe40 Chmp2a
755 Bhlhe40 Chmp3
756 Bhlhe40 Chmp4b
757 Bhlhe40 Cldn18
758 Bhlhe40 Cldn4
759 Bhlhe40 Clic1
760 Bhlhe40 Clic4
761 Bhlhe40 Clic5
762 Bhlhe40 Clip1
763 Bhlhe40 Clta
764 Bhlhe40 Cltb
765 Bhlhe40 Clu
766 Bhlhe40 Cnbp
767 Bhlhe40 Cnn2
768 Bhlhe40 Commd3
769 Bhlhe40 Comt
770 Bhlhe40 Copb1
771 Bhlhe40 Cox5a
772 Bhlhe40 Cox5b
773 Bhlhe40 Cox6a1
774 Bhlhe40 Cox7c
775 Bhlhe40 Crip2
776 Bhlhe40 Cryab
777 Bhlhe40 Csnk1a1
778 Bhlhe40 Cstb
779 Bhlhe40 Ctnna1
780 Bhlhe40 Ctsl
781 Bhlhe40 Cul1
782 Bhlhe40 Cwc15
783 Bhlhe40 Cxcl16
784 Bhlhe40 Cyc1
785 Bhlhe40 Cycs
786 Bhlhe40 Cystm1
787 Bhlhe40 Dctn3
