Receptor TF PPR
2993 Sdc4 Ctnnb1 0.00150272587252064
1035 Ceacam1 Eed 0.00150157052594697
3024 Sdc4 Hnrnpk 0.00149820263363954
2671 Sdc1 Ubn1 0.00149176646200642
1416 Ceacam1 Hspa5 0.00148165864008762
931 Cdh1 Hspd1 0.00148093829053344
831 Cdh1 Ubb 0.00147980884267938
2860 Sdc1 P4ha2 0.00147154333578612
3085 Sdc4 Hnrnpd 0.00145958245215371
899 Cdh1 Sptbn1 0.00145954672982588
120 Cd44 Apc 0.00145638775181058
1024 Ceacam1 Trp53 0.00145622314637615
1879 Cldn3 Hsp90ab1 0.00145426367370966
1332 Ceacam1 App 0.00144577586933105
806 Cdh1 Snrnp70 0.0014457550975608
2667 Sdc1 Rsf1 0.00144198593942935
2572 Sdc1 Mbd1 0.00144097834640353
570 Cdh1 Pcbp1 0.00144089522092602
565 Cdh1 Sf1 0.00143575218821284
3128 Sdc4 Fus 0.00143356038489994
585 Cdh1 Hnrnpk 0.00143296544946092
2764 Sdc1 Met 0.00143034782112348
3315 Sdc4 Anxa2 0.00142218614114858
162 Cd44 Ybx1 0.00141859875814138
770 Cdh1 Hnrnpl 0.00140669566330061
3270 Sdc4 Ubb 0.00140451031403518
2912 Sdc1 Igbp1 0.00139938061459387
2308 F11r App 0.00139724582384536
936 Cdh1 Cdc42 0.00138457888269901
748 Cdh1 Ddx3x 0.00138194780301371
656 Cdh1 Ddb1 0.00138134098868364
2821 Sdc1 Cd9 0.00137968132274315
3213 Sdc4 Ddx21 0.00137687726599896
636 Cdh1 Safb 0.00137639134639015
3242 Sdc4 Hnrnpc 0.00137034739239776
933 Cdh1 Hspa4 0.00136930043691571
29 Cd44 Smc3 0.00136001066670315
876 Cdh1 Anxa2 0.00135934780378976
621 Cdh1 Mapk1 0.00135502123951521
2872 Sdc1 Sumo1 0.00135430540048893
2722 Sdc1 Hnrnpl 0.00134528918540608
376 Cd44 Kras 0.00134137330828645
12 Cd44 Ep300 0.00133454240595862
2847 Sdc1 Bsg 0.00132913416590683
921 Cdh1 Sumo1 0.00132830480297735
235 Cd44 Rai14 0.00132731645880705
1258 Ceacam1 Hnrnpl 0.00131685479251175
415 Cd44 Hsp90ab1 0.00131674734278486
283 Cd44 Hnrnpl 0.00131558015507562
3126 Sdc4 Matr3 0.0013112774073181
3365 Sdc4 Ncl 0.00131032078427875
3041 Sdc4 Npm1 0.00130821370219637
357 Cd44 App 0.00130794590236175
3368 Sdc4 Ahsa1 0.00130508363838693
2854 Sdc1 Hsp90ab1 0.00130505470435008
160 Cd44 Hmgb2 0.0013024703083881
1409 Ceacam1 Sumo1 0.00129872787292193
3360 Sdc4 Sumo1 0.00128714651388699
3088 Sdc4 Ybx1 0.00128521709349744
403 Cd44 Actr1a 0.00127693314777806
3092 Sdc4 Fmr1 0.00127402508065204
1391 Ceacam1 Hsp90ab1 0.00127225031931024
188 Cd44 Sfpq 0.00127137139725448
323 Cd44 Svil 0.00126151128292192
2234 F11r Hnrnpl 0.00126003684389985
352 Cd44 Tmod3 0.00125821469183312
109 Cd44 Ddx5 0.00125789127012614
1977 F11r Polr2a 0.00125551913638233
3334 Sdc4 Rac1 0.00125077767918515
3060 Sdc4 Mapk1 0.00124772694582816
3182 Sdc4 Pcbp2 0.00124436588169712
1347 Ceacam1 Sqstm1 0.00124084307650783
1546 Cldn3 Pcbp1 0.00124003394444132
433 Cd44 Sumo1 0.0012376114658234
3344 Sdc4 Cyld 0.00123397777732373
1058 Ceacam1 Pcbp1 0.00123343997901856
2699 Sdc1 Etv3 0.00123248504444441
424 Cd44 Tjp2 0.00123171772094604
895 Cdh1 Rac1 0.00122951997735033
1419 Ceacam1 Hspd1 0.00122866970288168
1163 Ceacam1 Sfpq 0.00122319918777001
2752 Sdc1 Zmynd8 0.00122315476768095
2548 Sdc1 Ddx5 0.00122242584515012
2627 Sdc1 Sfpq 0.00121743099829155
2456 Sdc1 Hdac1 0.00121183746776475
2367 F11r Hsp90ab1 0.00121166316956686
31 Cd44 Stat3 0.00120909884459181
2556 Sdc1 Topors 0.00120759812763078
3280 Sdc4 Lmna 0.00120253682692119
393 Cd44 Hras 0.00119901397068103
596 Cdh1 Ddx5 0.0011954286126216
553 Cdh1 Cdc5l 0.00119242325227559
3409 Sdc4 Larp1 0.00119086126901665
929 Cdh1 Ahsa1 0.00118990512324938
2087 F11r Srsf2 0.00118932384711649
1572 Cldn3 Ddx5 0.00118833886442189
386 Cd44 Itgb1 0.00118626136065648
2139 F11r Sfpq 0.00117808312541011
841 Cdh1 Lmna 0.00117597769533522
955 Cdh1 Tes 0.00117585515305813
3283 Sdc4 App 0.00117286135411436
1042 Ceacam1 Ctnnb1 0.00116857668125515
2992 Sdc4 Cdc5l 0.00116431201824367
2505 Sdc1 Cdc5l 0.0011614750113869
1716 Cldn3 Mdm2 0.00115818159896571
148 Cd44 Fubp1 0.00115753787796039
390 Cd44 Rhoa 0.00115556963823701
3165 Sdc4 Pa2g4 0.00115365581397559
863 Cdh1 Kras 0.00115328339329256
743 Cdh1 Pcbp2 0.00115050239042722
2060 F11r Ddx5 0.0011408527143297
443 Cd44 Hspd1 0.00113762114618025
1084 Ceacam1 Ddx5 0.00113476251660349
98 Cd44 Hnrnpk 0.00113263940497351
607 Cdh1 Apc 0.00112577041947656
1041 Ceacam1 Cdc5l 0.00112441062373011
172 Cd44 Ilf3 0.00112422555996008
3046 Sdc4 Apc 0.00112051502547142
740 Cdh1 Mdm2 0.00111873605473386
2385 F11r Sumo1 0.00111437702477796
1529 Cldn3 Cdc5l 0.00110593169705421
3018 Sdc4 Gtf2i 0.00110517211347487
2522 Sdc1 Pcbp1 0.00110116829574159
1530 Cldn3 Ctnnb1 0.00110097126907949
2611 Sdc1 Ilf3 0.0011002281007836
333 Cd44 Krt7 0.00109720997105235
2882 Sdc1 Hspd1 0.00109704088284352
261 Cd44 Ddx3x 0.00109643745842973
253 Cd44 Mdm2 0.00109424806009999
1909 Cldn3 Hspa4 0.00109413703038159
2395 F11r Hspd1 0.001090323318528
2537 Sdc1 Hnrnpk 0.00108892166479098
454 Cd44 Ezr 0.00108855046677325
1852 Cldn3 Anxa2 0.00108791668078757
2700 Sdc1 Ddx3x 0.00108777958235349
2390 F11r Ncl 0.00108673768051512
2400 F11r Cdc42 0.00108666137801271
1835 Cldn3 Sqstm1 0.00108582276273412
970 Cdh1 Larp1 0.00108383783458683
3061 Sdc4 Mapk3 0.00108360460552329
2034 F11r Pcbp1 0.00108283336662155
17 Cd44 Hdac1 0.00108114607098747
131 Cd44 Nfkbia 0.00107972774890239
1144 Ceacam1 Ddb1 0.0010726637718866
3000 Sdc4 Xrn2 0.00107141362709962
622 Cdh1 Mapk3 0.00107074672217844
2520 Sdc1 Ewsr1 0.00107044037965185
2158 F11r Btf3 0.00107036024064012
3098 Sdc4 Ilf3 0.00107025638716826
504 Cdh1 Hdac1 0.00106244872644492
2049 F11r Hnrnpk 0.00106213799989482
3179 Sdc4 Mdm2 0.00105629413842874
1665 Cldn3 Fus 0.00105577026759662
2465 Sdc1 Polr2a 0.00105539887705027
169 Cd44 Ddb1 0.0010537772067995
1724 Cldn3 Ddx3x 0.00105209393946528
659 Cdh1 Ilf3 0.00105203741827739
2955 Sdc4 Smc3 0.00105139821239089
2943 Sdc4 Hdac1 0.00105104691208341
136 Cd44 Srsf2 0.00104865277961077
1053 Ceacam1 Sf1 0.00104807345043807
78 Cd44 Sf1 0.00104644327008918
1147 Ceacam1 Ilf3 0.00104623810769312
1807 Cldn3 Ubb 0.00104490880487129
992 Ceacam1 Hdac1 0.00104130034779764
381 Cd44 Rtn4 0.0010409891978686
2641 Sdc1 Fus 0.00104025689938329
2575 Sdc1 Srsf2 0.00103969612362817
3095 Sdc4 Ddb1 0.00103617172335804
329 Cd44 Cdk4 0.0010361163668873
1622 Cldn3 Hnrnpd 0.00103611369026714
1635 Cldn3 Ilf3 0.00103453156215077
2032 F11r Ewsr1 0.00103326096442146
1387 Ceacam1 Sptbn1 0.00103213181448478
319 Cd44 Snrnp70 0.00103192318037709
202 Cd44 Fus 0.00103056539077993
1236 Ceacam1 Ddx3x 0.00102969483415853
881 Cdh1 Hras 0.00102827296993524
2598 Sdc1 Hnrnpd 0.00102799133503497
1480 Cldn3 Hdac1 0.00102569636802887
1073 Ceacam1 Hnrnpk 0.00102468429909199
421 Cd44 P4ha2 0.00102400073803122
343 Cd44 Parp2 0.00102244313251588
2305 F11r Lmna 0.00102175392652594
2212 F11r Ddx3x 0.00102077244681514
385 Cd44 Sdc1 0.00101906956883129
568 Cdh1 Ewsr1 0.00101753672561376
2755 Sdc1 Hnrnpc 0.00101665959258511
344 Cd44 Ubb 0.00101613006417455
149 Cd44 Safb 0.00101562197306573
1294 Ceacam1 Snrnp70 0.00101188967911593
2123 F11r Ilf3 0.00101043116166718
3372 Sdc4 Hspa4 0.00100997838644565
2017 F11r Cdc5l 0.00100959124208016
2323 F11r Sqstm1 0.00100759807002092
924 Cdh1 Prdx6 0.0010062611645902
3007 Sdc4 Ewsr1 0.00100565236876205
513 Cdh1 Polr2a 0.00100530030028483
335 Cd44 Gsk3b 0.00100382258708603
159 Cd44 Hnrnpd 0.00100349389424757
2204 F11r Mdm2 0.00100315824413616
499 Cdh1 Ep300 0.00100148481236899
2827 Sdc1 Anxa2 0.00100094758933973
26 Cd44 Polr2a 0.000999616030140032
2884 Sdc1 Hspa4 0.000999414109182979
689 Cdh1 Fus 0.000999293138881987
3062 Sdc4 Srsf2 0.000997122108093466
2952 Sdc4 Polr2a 0.000996771374545484
2120 F11r Ddb1 0.000995834241826916
445 Cd44 Hspa4 0.000995724360416543
646 Cdh1 Hnrnpd 0.000992605540168082
1544 Cldn3 Ewsr1 0.000992469565587493
2692 Sdc1 Mdm2 0.000992372412792789
3330 Sdc4 Actr1a 0.000992079571933788
2567 Sdc1 Rfc1 0.000991660302029343
700 Cdh1 Rnps1 0.000991638080126266
1599 Cldn3 Srsf2 0.000990126035003899
1122 Ceacam1 Cops5 0.000988261704803921
395 Cd44 Prdx2 0.000986341363495945
2347 F11r Prdx2 0.000985686639675569
4 Cd44 Ccnd1 0.000985463022067957
2834 Sdc1 Prdx2 0.000984649434361978
1632 Cldn3 Ddb1 0.000983605004539761
623 Cdh1 Srsf2 0.000983017967148928
292 Cd44 Rbm22 0.000982636178884508
1875 Cldn3 Sptbn1 0.000982369059737048
1489 Cldn3 Polr2a 0.000982300135791018
1134 Ceacam1 Hnrnpd 0.000978790707518283
2745 Sdc1 Top1 0.000978578434943314
438 Cd44 Ncl 0.000977680461138456
1902 Cldn3 Ncl 0.000976820179271613
1111 Ceacam1 Srsf2 0.000976749338467549
1718 Cldn3 Hspb1 0.000976505198996621
2887 Sdc1 Cdc42 0.000975632200935996
46 Cd44 Smad4 0.000974776656786522
3161 Sdc4 Rai14 0.000973438282365292
3160 Sdc4 Tardbp 0.000973188725295661
3322 Sdc4 Prdx2 0.000972747310605161
1228 Ceacam1 Mdm2 0.000970623011766085
2811 Sdc1 Sqstm1 0.000970225197776965
2153 F11r Fus 0.000970105880981357
2783 Sdc1 Ubb 0.000969858677078074
557 Cdh1 Hif1a 0.000968591039789254
316 Cd44 Hnrnpc 0.000967598561279798
81 Cd44 Ewsr1 0.000966458992725355
2590 Sdc1 Ssrp1 0.000964416881405693
1968 F11r Hdac1 0.000960292565171536
2758 Sdc1 Snrnp70 0.000959106776275129
723 Cdh1 Eno1 0.000958421605780125
3321 Sdc4 Pcna 0.000957832243532411
3278 Sdc4 Tmod3 0.000956096528073594
1001 Ceacam1 Polr2a 0.000955337180814483
